Partei,lfdnr,familienname,vorname,titel,Geb.,Beruf,PLZ,ORT,LPL,RPL
NEOS,197,Klingler,Dagmar,Mag.,1968,Volksschuldirektorin,6020,Innsbruck,7,7A
NEOS,198,Knapp,Alexander,Ing.,1987,Vertragsbediensteter,3021,Pressbaum,3,3D
NEOS,199,Köb,Andreas,Dr.,1965,Rechtsanwalt,1190,Wien,9,9F
NEOS,200,Kobras,Edwin,\N,1955,Unternehmer,6951,Lingenau,8,8A
NEOS,201,Koch,Bernhard,Dipl.-Ing.,1971,Angestellter,1210,Wien,9,9G
NEOS,202,Koch,Ulrike,\N,1974,Unternehmerin,7000,Eisenstadt,1,1A
NEOS,203,Kolb,Simon,\N,1983,Angestellter,6020,Innsbruck,\N,7A
NEOS,204,Konecny,Jürgen,\N,1968,Angestellter,2700,Wiener Neustadt,3,3E
NEOS,205,Kopf,Kornelia,Mag.,1982,Pressereferentin,1090,Wien,3,3G
NEOS,206,Kotschar,Jochen,\N,1970,Unternehmer,8075,Hart bei Graz,6,6A
NEOS,207,Kotz,Heinrich,\N,1948,Hotelier,6632,Ehrwald,7,7D
NEOS,208,Krainer,Stephan,\N,1979,Flugzeugtechniker,8061,St. Radegund,6,\N
NEOS,209,Kratky,Gerhard,Dr.,1945,Pensionist,2122,Riedenthal,3,3A
NEOS,210,Kratky,Gisela,\N,1947,Pensionistin,2122,Riedenthal,3,3A
NEOS,211,Krickl,Marlene-Sophie,\N,1995,Student,5162,Obertrum,5,5B
NEOS,212,Kügele,Christian,\N,1990,Customer Supporter,8047,Graz,6,\N
NEOS,213,Kumpusch,Helmut Alois,\N,1962,Musikverleger,6870,Bezau,\N,8A
NEOS,214,Kürmayr,Georg,MSc,1988,Angestellter,4470,Enns,4,4A
NEOS,215,Lackner,Fabienne,\N,1997,Studentin,6800,Feldkirch,8,8B
NEOS,216,Lackner,Florian,\N,1989,Student,8010,Graz,6,6A
NEOS,217,Lagger-Wurzer,Sonja,\N,1959,Pensionistin,6010,Wiesing,7,7B
NEOS,218,Lausegger,Petra,\N,1984,Angestellte,9020,Klagenfurt,2,2A
NEOS,219,Leiner,David,\N,1996,Student,8047,Kainbach bei Graz,6,\N
NEOS,220,Liebhart,Roland,\N,1969,Buchhalter,6020,Innsbruck,\N,7A
NEOS,221,List,Alexander,\N,1974,IT-Spezialist,8010,Graz,6,\N
NEOS,222,Lutz,Josef,Mag.,1971,Unternehmer,6677,Schattwald,7,7D
NEOS,223,Maier-Sonnleitner,Christoph,BA,1973,Geschäftsführer,4600,Wels,4,4C
NEOS,224,Mantler,Franz,BSc,1990,Angestellter,1090,Wien,3,3A
NEOS,225,Manz,Elisabeth,\N,1970,Verwaltungsbedienstete,2353,Guntramsdorf,3,3F
NEOS,226,Mathis,Christian,\N,1974,Unternehmer,6850,Dornbirn,\N,8A
NEOS,227,Matt,Daniel,Mag.,1976,Angestellter,6800,Feldkirch,8,\N
NEOS,228,Mattle,Julian,Mag.,1988,Angestellter,6574,Pettneu am Arlberg,\N,7D
NEOS,229,Mautner-Markhof,Christoph,\N,1981,Angestellter,2320,Schwechat,3,3G
NEOS,230,Mayer,Monika,\N,1959,Trainerin,1030,Wien,9,9A
NEOS,231,Mayer,Ulrich,Mag. (FH),1986,Angestellter,3074,Michelbach,3,3D
NEOS,232,Mayr,Markus,Dr.,1973,Unternehmer,6330,Kufstein,\N,7C
NEOS,233,Mayrhofer-Grünbühel,Rudolf,Mag.,1974,Angestellter,1090,Wien,9,9B
NEOS,234,Meznik,Alexander,\N,1995,Student,1070,Wien,\N,9B
NEOS,235,Miladic,Alexander,\N,1993,Student,5020,Salzburg,5,5A
NEOS,236,Mild,Marcel,\N,1988,Unternehmer,9634,Gundersheim,2,2C
NEOS,237,Milotta-Berka,Marie-Therese,\N,1989,Studentin,4020,Linz,4,4A
NEOS,238,Mitterberger,David,\N,1969,Angestellter,6063,Rum,\N,7B
NEOS,239,Mittermayer,Felix Jakob Fritz,\N,1967,Verwaltungsrat im Europäischen Parlament,8972,Ramsau am Dachstein,\N,\N
NEOS,240,Moll,Markus,Ing. Mag.,1962,Geschäftsführer,6600,Breitenwang,\N,7D
NEOS,241,Moritz,Christian,\N,1969,Sozialunternehmer,1020,Wien,9,9C
NEOS,242,Müller,Pia,MSc,1951,Pensionistin,6176,Völs,7,7B
NEOS,243,Nagy,Szabolcs,MSc,1979,Leitung Controlling,1060,Wien,9,9B
