Partei,Lfd. Nr.,Familienname,Vorname,Titel,Geb. Jahr,Beruf,PLZ,Ort,LPL,RPL
ÖVP,66,Kamaleyan-Schmied,Naghme,Dr.,1978,Hausärztin,1190,Wien,\N,\N
ÖVP,67,Weidlinger,Günther,BSc,1978,"Eventmanager, Personal Coach",4616,Weißkirchen,4,\N
ÖVP,68,Kortschak,Martha,\N,1951,Pensionistin,8151,Hitzendorf,6,6A
ÖVP,69,Anzengruber,Johannes,"Ing. Mag., BSc",1979,Almgastwirt,6020,Innsbruck,\N,\N
ÖVP,70,Reyer,Marlies,Mag. Bakk.,1982,Musikerin,1030,Wien,\N,\N
ÖVP,71,Ostermann,Roman Christian,Dr.,1978,Arzt,1180,Wien,\N,\N
ÖVP,72,Berlinger,Gabriele,\N,1960,Betriebs-Redakteurin,6900,Lochau,\N,8A
ÖVP,73,Graggaber,Christian Josef,\N,1979,Geschäftsführer,5580,Tamsweg,\N,\N
ÖVP,74,Lindorfer,Sabine,"Mag., BEd",1975,"Selbstständige Moderatorin, Lehrerin",4101,Feldkirchen an der Donau,4,\N
ÖVP,75,Gyaky,Heinz,Dr.,1963,Arzt,7431,Bad Tatzmannsdorf,1,1B
ÖVP,76,Koch,Theresia,\N,1967,Buchhalterin,8541,Wies,6,6C
ÖVP,77,Wolf,Franz Ferdinand,Dr.,1947,Journalist,1130,Wien,\N,\N
ÖVP,78,Wünsch,Rolanda Barbara,\N,1959,Selbstständig,6020,Innsbruck,\N,\N
ÖVP,79,Bessler,Daniel,MSc,1985,Eventmanager,1010,Wien,\N,\N
ÖVP,80,Renner,Sandra,\N,1975,Diplomierte Gesundheits- und Krankenpflegerin,4840,Vöcklabruck,4,4C
ÖVP,81,Aigner,Christian,\N,1987,Berufsfeuerwehrmann,83395,"Freilassing, Deutschland",\N,\N
ÖVP,82,Walser,Manuela,Mag. (FH) Dr.,1969,Selbstständige Unternehmensberaterin,1070,Wien,\N,\N
ÖVP,83,Flicker,Jochen,\N,1979,Hafnermeister,3950,Gmünd,3,3B
ÖVP,84,Schoßleitner,Claudia,Dr.,1964,Rechtsanwältin,4910,Ried im Innkreis,4,4B
ÖVP,85,Scheiring,Alexander,\N,1985,Unternehmer,6406,Oberhofen,\N,7B
ÖVP,86,Hugl,Christina,\N,1992,"Winzerin, Angestellte",2165,Drasenhofen,3,3A
ÖVP,87,Hintermann,Christian,BEd,1980,Lehrer,8074,Raaba,\N,\N
ÖVP,88,Komaz,Sabine,\N,1973,Angestellte,4820,Bad Ischl,\N,4D
ÖVP,89,Ledóchowski,Jan,\N,1982,Jurist,1130,Wien,\N,\N
ÖVP,90,Staffler,Christina Brigitte,\N,1988,Bürokauffrau,9905,Gaimberg,\N,\N
ÖVP,91,Matkovic,Mirko,\N,1962,Elektrotechniker,1020,Wien,9,9C
ÖVP,92,Schmidt,Maria Magdalena,\N,1967,Pflegeassistentin,8311,Markt Hartmannsdorf,\N,\N
ÖVP,93,Frühbauer,Milan,Dkfm.,1947,Journalist,1040,Wien,\N,\N
ÖVP,94,Zellhofer,Michaela,\N,1958,NMS-Direktorin,3712,Maissau,\N,3A
ÖVP,95,El-Araby,Armin,\N,1988,Student,1210,Wien,\N,\N
ÖVP,96,Sperker,Verena,MBA,1958,Diplomierte Gesundheits- und Krankenschwester im Wundmanagement,1130,Wien,\N,\N
ÖVP,97,Soudek,Daniel,"MMag., MBA, MSc",1980,Beamter,2441,Mitterndorf an der Fischa,\N,3F
ÖVP,98,Scharzenberger,Corinna,Mag.,1990,Landesbedienstete,8952,Irdning-Donnersbachtal,6,6D
ÖVP,99,Köberl,Christian,\N,1978,Installateur,3170,Hainfeld,3,3D
ÖVP,100,Blochberger,Andrea Magdalena,\N,1975,Selbstständig,2851,Krumbach,\N,\N
