Partei,Lfd. Nr.,Familienname,Vorname,Titel,Geb. Jahr,Beruf,PLZ,Ort,LPL,RPL
FPÖ,137,Heissl,Sebastian,Mag.,1972,Heeresbeamter,4802,Ebensee,4,4D
FPÖ,138,Sidar,Sarah,\N,1987,Landesbedienstete,8570,Voitsberg,6,6C
FPÖ,139,Kofler,Klemens,\N,1964,Immobilienmarkler,3591,Altenburg,3,3B
FPÖ,140,Pawkowicz,Alexander,Mag. (FH),1975,Landtagsabgeordneter,1070,Wien,9,9D
FPÖ,141,Frimbichler,Dominik Josef,\N,1991,Elektrikermeister,5322,Hof bei Salzburg,5,\N
FPÖ,142,Streimelweger,Johann,\N,1965,Beamter,7091,Breitenbrunn,1,\N
FPÖ,143,Luttinger,Christina,\N,1944,Vermieterin,6621,Bichlbach,7,7D
FPÖ,144,Burger,Günter Georg,\N,1961,Gewerbetreibender,9541,Einöde bei Villach,2,2B
FPÖ,145,Kloiber,Milina,\N,1981,Büroangestellte,6845,Hohenems,8,8A
FPÖ,146,Mayer,Claudia,\N,1967,Büroangestellte,4600,Thalheim bei Wels,4,4C
FPÖ,147,Hubmann,Silvia,\N,1979,Selbstständig,8451,Heimschuh,6,6C
FPÖ,148,Zistler,Wolfgang,\N,1961,Angestellter,2320,Schwechat,3,3G
FPÖ,149,Reif,Ricarda,\N,1986,Landtagsabgeordnete,1100,Wien,9,9D
FPÖ,150,Kollau,Stephanie,\N,1994,Floristin,5314,Faistenau,5,5B
FPÖ,151,Reindl,Manfred,\N,1965,Beamter,8384,Minihof-Liebau,\N,\N
FPÖ,152,Kurz,Maximilian,\N,1995,Student,6020,Innsbruck,7,7A
FPÖ,153,Schein,Rosemarie,\N,1961,Landwirtin,9470,St. Paul im Lavanttal,2,2D
FPÖ,154,Küng,Florian,\N,1979,Landwirt,6773,Vandans,8,8B
FPÖ,155,Hofmann,Stefanie,\N,1994,Versicherungskauffrau,4163,Klaffer,4,4E
FPÖ,156,Wallner,Michael,Ing.,1985,Techniker,8530,Deutschlandsberg,6,6C
FPÖ,157,Guggenbichler,Udo,Ing.,1974,Angestellter,1040,Wien,9,9F
